position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,videoCategoryId,videoCategoryLabel,duration,durationSec,dimension,definition,caption,thumbnail_maxres,licensedContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,ranking,VideoUrl
1,UC6HyKpYWmX4zsy6_bJZIK7A,WXYZ-TV Detroit | Channel 7,XvMcfOtR538,2020-11-23T23:29:00Z,2020-11-23 23:29:00,Calls claiming voter fraud traced back to Michigan Conservative group,Have you received a phone call telling you that you are a victim of voter fraud? That’s what one couple in Wyandotte say happened on Sunday morning.,25,News & Politics,PT2M44S,164,2d,hd,False,https://i.ytimg.com/vi/XvMcfOtR538/maxresdefault.jpg,1.0,2283.0,19.0,43.0,0.0,33.0,relevance,https://www.youtube.com/watch?v=XvMcfOtR538
2,UC5bEfSFTYQVfLCwkhBt8NtQ,The Heritage Foundation,8Rv6LjSN7G4,2020-11-23T20:28:37Z,2020-11-23 20:28:37,Why Michigan Election Must Be Investigated: Hans von Spakovsky,"Hans von Spakovsky joined Mornings on the Mall on WMAL to weigh-in the various counties that are determining whether they should certify election results. Learn more about this issue: https://www.heritage.org/election-integrity/commentary/why-safeguarding-our-elections-matters Hans von Spakovsky is an authority on a wide range of issues – including civil rights, civil justice, the First Amendment, immigration, the rule of law and government reform -- as a senior legal fellow in The Heritage Foundation’s Edwin Meese III Center for Legal and Judicial Studies. As manager of the think tank’s Election Law Reform Initiative, von Spakovsky also studies and writes about campaign finance restrictions, voter fraud and voter ID, enforcement of federal voting rights laws, administration of elections and voting equipment standards. Check out his work here: https://www.heritage.org/staff/hans-von-spakovsky Still haven’t subscribed to The Heritage Foundation on YouTube? Click here ► https://bit.ly/2otKliy Follow The Heritage Foundation on Facebook: https://www.facebook.com/heritagefoundation/ Follow The Heritage Foundation on Twitter: https://twitter.com/Heritage Follow The Heritage Foundation on Instagram: https://www.instagram.com/heritagefoundation/?hl=en",25,News & Politics,PT9M12S,552,2d,sd,False,https://i.ytimg.com/vi/8Rv6LjSN7G4/maxresdefault.jpg,,163259.0,6144.0,120.0,0.0,1545.0,relevance,https://www.youtube.com/watch?v=8Rv6LjSN7G4
3,UCzznO4xSV8BKnUBPyswtCUw,Arirang News,n2peg8jxYH8,2020-11-23T00:26:22Z,2020-11-23 00:26:22,"Trump tweets about election fraud during G20 Summit, heads golfing afterwards","트럼프, G20 화상 정상회의 도중 대선 불복 트윗...이후엔 골프장 While largely limiting public appearances on the global stage, U.S. President Donald trump showed up at the virtual G20 summit that was held over the weekend. But his interest seemed to be on the election,... as he continues to deny his defeat. For more on this and other news from around the world, we turn to our Lee Kyung-eun. Kyung-eun, tells us more about the tweet. Mark, Trump has once again tweeted about election fraud. But this time, during the G20 summit,... where global leaders were discussing COVID-19 and other issues. Trump reportedly kept his head down, staring at something on his desk,.. while the Saudi King was speaking at the virtual event on Saturday. Afterwards, he tweeted, saying “We will show massive and unprecedented fraud "" referring to his election defeat. After making a brief appearance, Trump headed to his golf course in Virginia. Bloomberg says the incident shows Trump's lack of interest in the summit,... with his focus only on the election. #US #G20 #Trump 📣 Arirang News(Facebook) : https://www.facebook.com/arirangtvnews 📣 Arirang News(Twitter) : https://twitter.com/arirangtvnews 📣 News Center(YouTube) : https://www.youtube.com/c/NEWSCENTER_ARIRANGTV 2020-11-23, 07:00 (KST)",25,News & Politics,PT1M14S,74,2d,hd,False,https://i.ytimg.com/vi/n2peg8jxYH8/maxresdefault.jpg,1.0,1126.0,21.0,15.0,0.0,53.0,relevance,https://www.youtube.com/watch?v=n2peg8jxYH8
4,UC5bEfSFTYQVfLCwkhBt8NtQ,The Heritage Foundation,kLso-sIG7eU,2020-11-23T20:00:05Z,2020-11-23 20:00:05,Will the Supreme Court Get Involved? | Hans von Spakovsky on Election Litigation,"Hans von Spakovsky joined Newsmax on November 21, 2020, to look at the latest litigation news. Learn more about this issue: https://www.heritage.org/election-integrity/commentary/why-safeguarding-our-elections-matters Hans von Spakovsky is an authority on a wide range of issues – including civil rights, civil justice, the First Amendment, immigration, the rule of law and government reform -- as a senior legal fellow in The Heritage Foundation’s Edwin Meese III Center for Legal and Judicial Studies. As manager of the think tank’s Election Law Reform Initiative, von Spakovsky also studies and writes about campaign finance restrictions, voter fraud and voter ID, enforcement of federal voting rights laws, administration of elections and voting equipment standards. Check out his work here: https://www.heritage.org/staff/hans-von-spakovsky Still haven’t subscribed to The Heritage Foundation on YouTube? Click here ► https://bit.ly/2otKliy Follow The Heritage Foundation on Facebook: https://www.facebook.com/heritagefoundation/ Follow The Heritage Foundation on Twitter: https://twitter.com/Heritage Follow The Heritage Foundation on Instagram: https://www.instagram.com/heritagefoundation/?hl=en",25,News & Politics,PT3M3S,183,2d,hd,False,https://i.ytimg.com/vi/kLso-sIG7eU/maxresdefault.jpg,,180702.0,4536.0,159.0,0.0,1481.0,relevance,https://www.youtube.com/watch?v=kLso-sIG7eU
5,UCHd62-u_v4DvJ8TCFtpi4GA,Washington Post,IuZvruLORqw,2020-11-23T23:11:55Z,2020-11-23 23:11:55,Trump campaign lawyers undermine the campaign’s election fraud claims,"Since the election, the Trump campaign has repeatedly alleged widespread fraud in the 2002 election. In court, his lawyers say the opposite. Read more: https://wapo.st/33ezH0C. Subscribe to The Washington Post on YouTube: https://wapo.st/2QOdcqK Follow us: Twitter: https://twitter.com/washingtonpost Instagram: https://www.instagram.com/washingtonpost/ Facebook: https://www.facebook.com/washingtonpost/",25,News & Politics,PT1M10S,70,2d,hd,True,https://i.ytimg.com/vi/IuZvruLORqw/maxresdefault.jpg,1.0,14422.0,276.0,57.0,0.0,143.0,relevance,https://www.youtube.com/watch?v=IuZvruLORqw
6,UC5T7D-Dh1eDGtsAFCuwv_Sw,7NEWS Australia,EgHaUNeatGU,2020-11-23T01:07:34Z,2020-11-23 01:07:34,Republicans break ranks with Trump over baseless election fraud claims | 7NEWS,"Senior Republicans have begun to break ranks as Donald Trump continues to insist he won the election. Subscribe to 7NEWS for the latest video » https://7news.link/YTSubscribe Connect with 7NEWS online Visit » https://7news.com.au Facebook » https://www.facebook.com/7NewsAustralia Twitter » https://twitter.com/7NewsAustralia Instagram » https://www.instagram.com/7newsaustralia/ 7NEWS combines the trusted and powerful news brands including Sunrise, The Morning Show, The Latest, and 7NEWS.com.au, delivering unique, engaging and continuous coverage on the issues that matter most to Australians. Watch 7NEWS nightly at 6pm and weekdays at 11:30am and 4pm on Channel 7 and 7plus. #BreakingNews #Trump #Election2020 #7NEWS",25,News & Politics,PT2M15S,135,2d,hd,False,https://i.ytimg.com/vi/EgHaUNeatGU/maxresdefault.jpg,1.0,12341.0,126.0,74.0,0.0,229.0,relevance,https://www.youtube.com/watch?v=EgHaUNeatGU
7,UCk3d_OZ3ie6nR9QVluA-nSw,theDoveTV,N6eAFQT90Ks,2020-11-23T17:03:41Z,2020-11-23 17:03:41,Evidence of Election Fraud - Clay Clark,"Clay Clark, host of the ThriveTime Radio Show and founder of www.Thrive15.com, talks about his interview with Trump attorney Lin Wood and discusses with and shares the latest on the election fraud. See more at http://theDove.us Originally aired on theDove TV & Radio November 23, 2020 Follow us on social media: http://Facebook.com/theDoveOnline http://Facebook.com/theDoveNewsroom http://.Instagram.com/theDoveOnline http://.Twitter.com/theDoveOnline http://.Twitter.com/theDoveNewsroom Support theDove: https://theDove.us/Support-Us/",22,People & Blogs,PT13M39S,819,2d,hd,False,https://i.ytimg.com/vi/N6eAFQT90Ks/maxresdefault.jpg,,666.0,27.0,9.0,0.0,0.0,relevance,https://www.youtube.com/watch?v=N6eAFQT90Ks
8,UCqMdEOPBZbGPykVOhUqWqfA,Click On Detroit | Local 4 | WDIV,GOa09aQITDU,2020-11-23T04:45:12Z,2020-11-23 04:45:12,All eyes on Michigan -- Board of State Canvassers to decide if election results will be certified,The Michigan Board of State Canvassers is set to meet Monday to decide whether Michigan’s election results will be certified.,25,News & Politics,PT2M44S,164,2d,hd,True,https://i.ytimg.com/vi/GOa09aQITDU/maxresdefault.jpg,1.0,6292.0,52.0,21.0,0.0,69.0,relevance,https://www.youtube.com/watch?v=GOa09aQITDU
9,UCHTK-2W11Vh1V4uwofOfR4w,AP Archive,owlBUxmk58U,2020-11-23T01:16:54Z,2020-11-23 01:16:54,Giuliani argues to block Biden win in Pennsylvania,"(18 Nov 2020) Rudy Giuliani, President Donald Trump's personal attorney, returned to federal court Tuesday after a long hiatus to accuse Democrats in control of big cities of hatching a nationwide conspiracy to steal the election, even though no such evidence has emerged in the two weeks since Election Day. The court case is over the Trump campaign's federal lawsuit seeking to prevent Pennsylvania officials from certifying the vote results. Lawyers defending the Democratic secretary of state, Philadelphia and several counties said the Trump campaign's arguments lack any constitutional basis or were rendered irrelevant by a state Supreme Court decision Tuesday. They asked U.S. District Judge Matthew Brann to throw out the case, calling the allegations “at best, garden-variety irregularities"" that would not warrant throwing out Pennsylvania's election results, which delivered a victory for President-elect Joe Biden. Giuliani, the former New York City mayor, baselessly asserted there was a wide-ranging scheme to steal the election from Trump in big cities in Pennsylvania and 10 other places. “The best description of this situation is widespread, nationwide voter fraud, of which this is a part. ... This is not an isolated case, this is a case that is repeated in at least 10 other jurisdictions,” Giuliani said. The dozens of affidavits Trump's lawyers filed in the case, however, do not assert widespread fraud, but rather the potential for something fishy to occur because partisan poll watchers weren’t given an opportunity to view the results. Tuesday’s hearing focused on the Trump campaign’s request for a temporary restraining order, as well as Democrats’ request to have the case dismissed. Giuliani - who had not argued a case in federal court since 1992, according to online court filings - asked Brann to let him put on evidence to back up his claims. Trump's campaign has not been shy in previous weeks about publicizing what they say is evidence of election fraud. Brann has scheduled a hearing for Thursday to hear evidence - if he decides against dismissing the case. There is no evidence of widespread fraud in the 2020 election, and experts say Trump’s various lawsuits have no chance of reversing the outcome in a single state, let alone the election. In fact, officials of both political parties have stated publicly that the election went well, and international observers confirmed there were no serious irregularities. The Trump campaign wants to prevent certification of results that give Biden Pennsylvania's 20 electoral votes. The Trump campaign’s lawsuit is based on a complaint that Philadelphia and some Democratic-controlled counties in Pennsylvania let voters make corrections to mail-in ballots that were otherwise going to be disqualified for a technicality, like lacking a secrecy envelope or a signature. It is not clear how many ballots that could involve, although some opposing lawyers say it is far too few to overturn the election result. Find out more about AP Archive: http://www.aparchive.com/HowWeWork Twitter: https://twitter.com/AP_Archive Facebook: https://www.facebook.com/APArchives Google+: https://plus.google.com/b/102011028589719587178/+APArchive​ Tumblr: https://aparchives.tumblr.com/​​ Instagram: https://www.instagram.com/APNews/ You can license this story through AP Archive: http://www.aparchive.com/metadata/youtube/f0ced2c08cda4a5cb22a0d9c194d6b57",25,News & Politics,PT40S,40,2d,sd,False,,1.0,777.0,12.0,3.0,0.0,6.0,relevance,https://www.youtube.com/watch?v=owlBUxmk58U
10,UCuLGmD72gJDBwmLw06X58SA,The Berkman Klein Center for Internet & Society,dC2uR-cyoso,2020-11-23T16:37:22Z,2020-11-23 16:37:22,Red and Blue Realities: Political Discourse and the 2020 Election,Yochai Benkler and Rob Faris present their recent research that assesses how asymmetrically polarized media in the United States shape political discourse and explains how the structure of media ecosystems sustains two starkly different versions of reality in American politics.  The talk draws upon research into the propagation of disinformation about mail-in voter fraud and an analysis of political discourse in the first five months of 2020 from the Democratic primaries and impeachment to the emergence of the pandemic. It is moderated by Jasmine McNealy.,27,Education,PT59M9S,3549,2d,hd,True,https://i.ytimg.com/vi/dC2uR-cyoso/maxresdefault.jpg,,77.0,2.0,2.0,0.0,0.0,relevance,https://www.youtube.com/watch?v=dC2uR-cyoso
